sep=,
"Time","Noise"
2022-04-01 14:11:40,0.9346 Vrms
2022-04-01 14:11:41,0.9102 Vrms
2022-04-01 14:11:42,0.9496 Vrms
2022-04-01 14:11:43,0.9149 Vrms
2022-04-01 14:11:44,0.9057 Vrms
2022-04-01 14:11:45,0.8531 Vrms
2022-04-01 14:11:46,0.8599 Vrms
2022-04-01 14:11:47,0.8948 Vrms
2022-04-01 14:11:48,0.9420 Vrms
2022-04-01 14:11:49,0.8662 Vrms
2022-04-01 14:11:50,0.9009 Vrms
2022-04-01 14:11:51,0.9588 Vrms
2022-04-01 14:11:52,0.9481 Vrms
2022-04-01 14:11:53,0.9185 Vrms
2022-04-01 14:11:54,0.8355 Vrms
2022-04-01 14:11:55,0.9010 Vrms
2022-04-01 14:11:56,0.8473 Vrms
2022-04-01 14:11:57,0.9263 Vrms
2022-04-01 14:11:58,0.8934 Vrms
2022-04-01 14:11:59,0.8593 Vrms
2022-04-01 14:12:00,0.9583 Vrms
2022-04-01 14:12:01,0.9646 Vrms
2022-04-01 14:12:02,0.9481 Vrms
2022-04-01 14:12:03,0.9545 Vrms
2022-04-01 14:12:04,0.8456 Vrms
2022-04-01 14:12:05,0.9020 Vrms
2022-04-01 14:12:06,0.8740 Vrms
2022-04-01 14:12:07,0.8456 Vrms
2022-04-01 14:12:08,0.8369 Vrms
2022-04-01 14:12:09,0.8194 Vrms
2022-04-01 14:12:10,0.8619 Vrms
2022-04-01 14:12:11,0.8140 Vrms
2022-04-01 14:12:12,0.8736 Vrms
2022-04-01 14:12:13,0.9113 Vrms
2022-04-01 14:12:14,0.8807 Vrms
2022-04-01 14:12:15,1.0633 Vrms
2022-04-01 14:12:16,0.8849 Vrms
2022-04-01 14:12:17,0.8958 Vrms
2022-04-01 14:12:18,0.8508 Vrms
2022-04-01 14:12:19,0.8319 Vrms
2022-04-01 14:12:20,0.9628 Vrms
2022-04-01 14:12:21,1.0032 Vrms
2022-04-01 14:12:22,0.8685 Vrms
2022-04-01 14:12:23,0.8377 Vrms
2022-04-01 14:12:24,0.9053 Vrms
2022-04-01 14:12:25,0.8382 Vrms
2022-04-01 14:12:26,1.0764 Vrms
2022-04-01 14:12:27,0.9910 Vrms
2022-04-01 14:12:28,0.9992 Vrms
2022-04-01 14:12:29,1.0433 Vrms
2022-04-01 14:12:30,0.9701 Vrms
2022-04-01 14:12:31,0.9329 Vrms
2022-04-01 14:12:32,1.0152 Vrms
2022-04-01 14:12:33,0.9242 Vrms
2022-04-01 14:12:34,0.9208 Vrms
2022-04-01 14:12:35,0.9191 Vrms
2022-04-01 14:12:36,0.9465 Vrms
2022-04-01 14:12:37,0.8577 Vrms
2022-04-01 14:12:38,0.8385 Vrms
2022-04-01 14:12:39,0.8470 Vrms
2022-04-01 14:12:40,0.8926 Vrms
2022-04-01 14:12:41,0.9246 Vrms
2022-04-01 14:12:42,0.9680 Vrms
2022-04-01 14:12:43,0.9114 Vrms
2022-04-01 14:12:44,0.9673 Vrms
2022-04-01 14:12:45,0.9098 Vrms
2022-04-01 14:12:46,0.9014 Vrms
2022-04-01 14:12:47,0.9354 Vrms
2022-04-01 14:12:48,0.9190 Vrms
2022-04-01 14:12:49,0.8662 Vrms
2022-04-01 14:12:50,0.8927 Vrms
2022-04-01 14:12:51,0.9028 Vrms
2022-04-01 14:12:52,0.8654 Vrms
2022-04-01 14:12:53,0.9287 Vrms
2022-04-01 14:12:54,0.8653 Vrms
2022-04-01 14:12:55,0.8633 Vrms
2022-04-01 14:12:56,0.8947 Vrms
2022-04-01 14:12:57,0.8796 Vrms
2022-04-01 14:12:58,0.9210 Vrms
2022-04-01 14:12:59,0.8565 Vrms
2022-04-01 14:13:00,0.8775 Vrms
2022-04-01 14:13:01,0.9191 Vrms
2022-04-01 14:13:02,0.8816 Vrms
2022-04-01 14:13:03,0.8682 Vrms
2022-04-01 14:13:04,0.9874 Vrms
2022-04-01 14:13:05,0.9465 Vrms
2022-04-01 14:13:06,0.9292 Vrms
2022-04-01 14:13:07,0.9587 Vrms
2022-04-01 14:13:08,0.8920 Vrms
2022-04-01 14:13:09,0.9734 Vrms
2022-04-01 14:13:10,0.8971 Vrms
2022-04-01 14:13:11,0.8621 Vrms
2022-04-01 14:13:12,0.9184 Vrms
2022-04-01 14:13:13,0.8835 Vrms
2022-04-01 14:13:14,1.0702 Vrms
2022-04-01 14:13:15,0.8509 Vrms
2022-04-01 14:13:16,0.8027 Vrms
2022-04-01 14:13:17,0.7301 Vrms
2022-04-01 14:13:18,0.8683 Vrms
2022-04-01 14:13:19,1.0228 Vrms
2022-04-01 14:13:20,0.9692 Vrms
2022-04-01 14:13:21,0.8837 Vrms
2022-04-01 14:13:22,0.8684 Vrms
2022-04-01 14:13:23,0.9094 Vrms
2022-04-01 14:13:24,0.8290 Vrms
2022-04-01 14:13:25,1.0610 Vrms
2022-04-01 14:13:26,0.9479 Vrms
2022-04-01 14:13:27,0.9475 Vrms
2022-04-01 14:13:28,0.8868 Vrms
2022-04-01 14:13:29,0.8646 Vrms
2022-04-01 14:13:30,0.9295 Vrms
2022-04-01 14:13:31,0.8678 Vrms
2022-04-01 14:13:32,0.8830 Vrms
2022-04-01 14:13:33,0.8757 Vrms
2022-04-01 14:13:34,0.8620 Vrms
2022-04-01 14:13:35,0.8868 Vrms
2022-04-01 14:13:36,0.9842 Vrms
2022-04-01 14:13:37,0.8932 Vrms
2022-04-01 14:13:38,0.9782 Vrms
2022-04-01 14:13:39,0.9117 Vrms
2022-04-01 14:13:40,0.9179 Vrms
2022-04-01 14:13:41,0.9333 Vrms
2022-04-01 14:13:42,0.9040 Vrms
2022-04-01 14:13:43,0.9044 Vrms
2022-04-01 14:13:44,0.8561 Vrms
2022-04-01 14:13:45,0.9436 Vrms
2022-04-01 14:13:46,0.8516 Vrms
2022-04-01 14:13:47,0.9678 Vrms
2022-04-01 14:13:48,1.0126 Vrms
2022-04-01 14:13:49,0.9250 Vrms
2022-04-01 14:13:50,0.9561 Vrms
2022-04-01 14:13:51,0.9706 Vrms
2022-04-01 14:13:52,1.0203 Vrms
2022-04-01 14:13:53,0.9531 Vrms
2022-04-01 14:13:54,0.9206 Vrms
2022-04-01 14:13:55,1.0561 Vrms
2022-04-01 14:13:56,0.9287 Vrms
2022-04-01 14:13:57,0.9969 Vrms
2022-04-01 14:13:58,0.8822 Vrms
2022-04-01 14:13:59,0.9041 Vrms
2022-04-01 14:14:00,1.0484 Vrms
2022-04-01 14:14:01,0.9320 Vrms
2022-04-01 14:14:02,0.8129 Vrms
2022-04-01 14:14:03,0.8418 Vrms
2022-04-01 14:14:04,0.7880 Vrms
2022-04-01 14:14:05,0.8690 Vrms
2022-04-01 14:14:06,0.8821 Vrms
2022-04-01 14:14:07,0.8311 Vrms
2022-04-01 14:14:08,0.9141 Vrms
2022-04-01 14:14:09,0.8759 Vrms
2022-04-01 14:14:10,0.8325 Vrms
2022-04-01 14:14:11,0.8730 Vrms
2022-04-01 14:14:12,0.9537 Vrms
2022-04-01 14:14:13,0.7902 Vrms
2022-04-01 14:14:14,1.0706 Vrms
2022-04-01 14:14:15,0.8132 Vrms
2022-04-01 14:14:16,0.8531 Vrms
2022-04-01 14:14:17,0.7940 Vrms
2022-04-01 14:14:18,0.7902 Vrms
2022-04-01 14:14:19,0.9757 Vrms
2022-04-01 14:14:20,0.9218 Vrms
2022-04-01 14:14:21,0.9376 Vrms
2022-04-01 14:14:22,0.9121 Vrms
2022-04-01 14:14:23,0.9396 Vrms
2022-04-01 14:14:24,0.8969 Vrms
2022-04-01 14:14:25,0.8674 Vrms
2022-04-01 14:14:26,1.0819 Vrms
2022-04-01 14:14:27,0.9676 Vrms
2022-04-01 14:14:28,0.9479 Vrms
2022-04-01 14:14:29,0.9283 Vrms
2022-04-01 14:14:30,0.9290 Vrms
2022-04-01 14:14:31,0.9913 Vrms
