sep=,
"Time","Light"
2022-04-01 14:11:40,593.3 lux
2022-04-01 14:11:41,596.7 lux
2022-04-01 14:11:42,596.7 lux
2022-04-01 14:11:43,595.0 lux
2022-04-01 14:11:44,598.5 lux
2022-04-01 14:11:45,596.2 lux
2022-04-01 14:11:46,597.3 lux
2022-04-01 14:11:47,600.8 lux
2022-04-01 14:11:48,599.6 lux
2022-04-01 14:11:49,596.2 lux
2022-04-01 14:11:50,597.3 lux
2022-04-01 14:11:51,599.0 lux
2022-04-01 14:11:52,599.0 lux
2022-04-01 14:11:53,596.2 lux
2022-04-01 14:11:54,596.2 lux
2022-04-01 14:11:55,596.2 lux
2022-04-01 14:11:56,596.2 lux
2022-04-01 14:11:57,595.6 lux
2022-04-01 14:11:58,593.3 lux
2022-04-01 14:11:59,595.0 lux
2022-04-01 14:12:00,596.2 lux
2022-04-01 14:12:01,592.7 lux
2022-04-01 14:12:02,590.4 lux
2022-04-01 14:12:03,590.4 lux
2022-04-01 14:12:04,588.4 lux
2022-04-01 14:12:05,590.1 lux
2022-04-01 14:12:06,590.4 lux
2022-04-01 14:12:07,590.4 lux
2022-04-01 14:12:08,588.4 lux
2022-04-01 14:12:09,587.5 lux
2022-04-01 14:12:10,587.5 lux
2022-04-01 14:12:11,587.5 lux
2022-04-01 14:12:12,587.5 lux
2022-04-01 14:12:13,584.9 lux
2022-04-01 14:12:14,584.6 lux
2022-04-01 14:12:15,584.6 lux
2022-04-01 14:12:16,584.6 lux
2022-04-01 14:12:17,582.0 lux
2022-04-01 14:12:18,582.6 lux
2022-04-01 14:12:19,583.2 lux
2022-04-01 14:12:20,581.8 lux
2022-04-01 14:12:21,581.8 lux
2022-04-01 14:12:22,581.8 lux
2022-04-01 14:12:23,581.8 lux
2022-04-01 14:12:24,581.8 lux
2022-04-01 14:12:25,581.8 lux
2022-04-01 14:12:26,581.8 lux
2022-04-01 14:12:27,583.2 lux
2022-04-01 14:12:28,584.6 lux
2022-04-01 14:12:29,584.6 lux
2022-04-01 14:12:30,588.1 lux
2022-04-01 14:12:31,590.4 lux
2022-04-01 14:12:32,590.4 lux
2022-04-01 14:12:33,590.4 lux
2022-04-01 14:12:34,588.1 lux
2022-04-01 14:12:35,591.6 lux
2022-04-01 14:12:36,591.6 lux
2022-04-01 14:12:37,588.1 lux
2022-04-01 14:12:38,590.4 lux
2022-04-01 14:12:39,590.4 lux
2022-04-01 14:12:40,592.1 lux
2022-04-01 14:12:41,593.3 lux
2022-04-01 14:12:42,590.4 lux
2022-04-01 14:12:43,591.6 lux
2022-04-01 14:12:44,593.3 lux
2022-04-01 14:12:45,591.0 lux
2022-04-01 14:12:46,590.4 lux
2022-04-01 14:12:47,590.4 lux
2022-04-01 14:12:48,590.4 lux
2022-04-01 14:12:49,588.1 lux
2022-04-01 14:12:50,587.5 lux
2022-04-01 14:12:51,587.5 lux
2022-04-01 14:12:52,587.5 lux
2022-04-01 14:12:53,589.8 lux
2022-04-01 14:12:54,587.5 lux
2022-04-01 14:12:55,587.5 lux
2022-04-01 14:12:56,587.5 lux
2022-04-01 14:12:57,587.5 lux
2022-04-01 14:12:58,585.2 lux
2022-04-01 14:12:59,587.5 lux
2022-04-01 14:13:00,587.5 lux
2022-04-01 14:13:01,589.5 lux
2022-04-01 14:13:02,590.4 lux
2022-04-01 14:13:03,590.4 lux
2022-04-01 14:13:04,590.4 lux
2022-04-01 14:13:05,590.4 lux
2022-04-01 14:13:06,593.0 lux
2022-04-01 14:13:07,593.3 lux
2022-04-01 14:13:08,593.3 lux
2022-04-01 14:13:09,593.3 lux
2022-04-01 14:13:10,595.9 lux
2022-04-01 14:13:11,597.0 lux
2022-04-01 14:13:12,599.0 lux
2022-04-01 14:13:13,599.0 lux
2022-04-01 14:13:14,601.6 lux
2022-04-01 14:13:15,601.9 lux
2022-04-01 14:13:16,600.5 lux
2022-04-01 14:13:17,601.1 lux
2022-04-01 14:13:18,604.5 lux
2022-04-01 14:13:19,604.8 lux
2022-04-01 14:13:20,606.2 lux
2022-04-01 14:13:21,607.7 lux
2022-04-01 14:13:22,607.7 lux
2022-04-01 14:13:23,611.1 lux
2022-04-01 14:13:24,614.6 lux
2022-04-01 14:13:25,618.0 lux
2022-04-01 14:13:26,619.2 lux
2022-04-01 14:13:27,622.1 lux
2022-04-01 14:13:28,620.9 lux
2022-04-01 14:13:29,619.2 lux
2022-04-01 14:13:30,623.8 lux
2022-04-01 14:13:31,622.7 lux
2022-04-01 14:13:32,626.1 lux
2022-04-01 14:13:33,629.6 lux
2022-04-01 14:13:34,626.1 lux
2022-04-01 14:13:35,627.8 lux
2022-04-01 14:13:36,626.7 lux
2022-04-01 14:13:37,628.4 lux
2022-04-01 14:13:38,633.0 lux
2022-04-01 14:13:39,634.2 lux
2022-04-01 14:13:40,636.5 lux
2022-04-01 14:13:41,638.2 lux
2022-04-01 14:13:42,637.1 lux
2022-04-01 14:13:43,643.4 lux
2022-04-01 14:13:44,648.0 lux
2022-04-01 14:13:45,649.7 lux
2022-04-01 14:13:46,650.9 lux
2022-04-01 14:13:47,650.9 lux
2022-04-01 14:13:48,650.9 lux
2022-04-01 14:13:49,649.4 lux
2022-04-01 14:13:50,646.0 lux
2022-04-01 14:13:51,650.0 lux
2022-04-01 14:13:52,648.9 lux
2022-04-01 14:13:53,650.9 lux
2022-04-01 14:13:54,650.9 lux
2022-04-01 14:13:55,655.8 lux
2022-04-01 14:13:56,653.8 lux
2022-04-01 14:13:57,656.6 lux
2022-04-01 14:13:58,663.6 lux
2022-04-01 14:13:59,665.0 lux
