sep=,
"Time","Light"
2022-04-02 12:49:03,
2022-04-02 12:49:04,1321.3 lux
2022-04-02 12:49:05,1313.3 lux
2022-04-02 12:49:06,1321.3 lux
2022-04-02 12:49:07,1362.8 lux
2022-04-02 12:49:08,1370.3 lux
2022-04-02 12:49:09,1339.2 lux
2022-04-02 12:49:10,1332.3 lux
2022-04-02 12:49:11,1342.1 lux
2022-04-02 12:49:12,1408.3 lux
2022-04-02 12:49:13,1437.1 lux
2022-04-02 12:49:14,1474.0 lux
2022-04-02 12:49:15,1479.7 lux
2022-04-02 12:49:16,1410.6 lux
2022-04-02 12:49:17,1373.8 lux
2022-04-02 12:49:18,1345.0 lux
2022-04-02 12:49:19,1331.1 lux
2022-04-02 12:49:20,1327.1 lux
2022-04-02 12:49:21,1316.2 lux
2022-04-02 12:49:22,1309.2 lux
2022-04-02 12:49:23,1296.6 lux
2022-04-02 12:49:24,1287.9 lux
2022-04-02 12:49:25,1276.4 lux
2022-04-02 12:49:26,1266.0 lux
2022-04-02 12:49:27,1261.4 lux
2022-04-02 12:49:28,1248.8 lux
2022-04-02 12:49:29,1244.2 lux
2022-04-02 12:49:30,1244.2 lux
2022-04-02 12:49:31,1239.6 lux
2022-04-02 12:49:32,1232.6 lux
2022-04-02 12:49:33,1232.6 lux
2022-04-02 12:49:34,1236.1 lux
2022-04-02 12:49:35,1243.0 lux
2022-04-02 12:49:36,1264.9 lux
2022-04-02 12:49:37,1281.0 lux
2022-04-02 12:49:38,1294.8 lux
2022-04-02 12:49:39,1366.3 lux
2022-04-02 12:49:40,1599.0 lux
2022-04-02 12:49:41,1815.6 lux
2022-04-02 12:49:42,1905.4 lux
2022-04-02 12:49:43,1988.4 lux
2022-04-02 12:49:44,2071.3 lux
2022-04-02 12:49:45,1988.4 lux
2022-04-02 12:49:46,1953.8 lux
2022-04-02 12:49:47,2004.5 lux
2022-04-02 12:49:48,2074.8 lux
2022-04-02 12:49:49,2153.1 lux
2022-04-02 12:49:50,2194.6 lux
2022-04-02 12:49:51,2139.3 lux
2022-04-02 12:49:52,1925.0 lux
2022-04-02 12:49:53,1716.5 lux
2022-04-02 12:49:54,1641.6 lux
2022-04-02 12:49:55,1736.1 lux
2022-04-02 12:49:56,1822.5 lux
2022-04-02 12:49:57,1769.5 lux
2022-04-02 12:49:58,1681.9 lux
2022-04-02 12:49:59,1707.3 lux
2022-04-02 12:50:00,1728.0 lux
2022-04-02 12:50:01,1741.8 lux
2022-04-02 12:50:02,1739.5 lux
2022-04-02 12:50:03,1584.0 lux
2022-04-02 12:50:04,1364.5 lux
2022-04-02 12:50:05,1215.9 lux
2022-04-02 12:50:06,1134.7 lux
2022-04-02 12:50:07,1081.7 lux
2022-04-02 12:50:08,1055.2 lux
2022-04-02 12:50:09,1048.3 lux
2022-04-02 12:50:10,1046.0 lux
2022-04-02 12:50:11,1035.6 lux
2022-04-02 12:50:12,1021.8 lux
2022-04-02 12:50:13,1006.8 lux
2022-04-02 12:50:14,1002.2 lux
2022-04-02 12:50:15,998.8 lux
2022-04-02 12:50:16,996.5 lux
2022-04-02 12:50:17,990.7 lux
2022-04-02 12:50:18,990.7 lux
2022-04-02 12:50:19,987.3 lux
2022-04-02 12:50:20,985.0 lux
2022-04-02 12:50:21,985.0 lux
2022-04-02 12:50:22,985.0 lux
2022-04-02 12:50:23,985.0 lux
2022-04-02 12:50:24,985.0 lux
2022-04-02 12:50:25,985.0 lux
2022-04-02 12:50:26,985.0 lux
2022-04-02 12:50:27,981.5 lux
2022-04-02 12:50:28,979.2 lux
2022-04-02 12:50:29,973.4 lux
2022-04-02 12:50:30,973.4 lux
2022-04-02 12:50:31,973.4 lux
2022-04-02 12:50:32,968.8 lux
2022-04-02 12:50:33,968.3 lux
2022-04-02 12:50:34,975.2 lux
2022-04-02 12:50:35,979.2 lux
2022-04-02 12:50:36,979.2 lux
2022-04-02 12:50:37,985.0 lux
2022-04-02 12:50:38,990.7 lux
2022-04-02 12:50:39,990.7 lux
2022-04-02 12:50:40,990.7 lux
2022-04-02 12:50:41,986.1 lux
2022-04-02 12:50:42,990.7 lux
2022-04-02 12:50:43,996.5 lux
2022-04-02 12:50:44,1002.2 lux
2022-04-02 12:50:45,1008.6 lux
2022-04-02 12:50:46,1021.2 lux
2022-04-02 12:50:47,1025.3 lux
2022-04-02 12:50:48,1029.3 lux
2022-04-02 12:50:49,1025.9 lux
2022-04-02 12:50:50,1025.3 lux
2022-04-02 12:50:51,1025.3 lux
2022-04-02 12:50:52,1029.3 lux
2022-04-02 12:50:53,1036.8 lux
2022-04-02 12:50:54,1044.3 lux
2022-04-02 12:50:55,1048.3 lux
2022-04-02 12:50:56,1051.8 lux
2022-04-02 12:50:57,1058.7 lux
2022-04-02 12:50:58,1076.0 lux
2022-04-02 12:50:59,1094.4 lux
2022-04-02 12:51:00,1090.9 lux
2022-04-02 12:51:01,1088.6 lux
2022-04-02 12:51:02,1099.0 lux
2022-04-02 12:51:03,1092.1 lux
2022-04-02 12:51:04,1095.6 lux
2022-04-02 12:51:05,1100.2 lux
2022-04-02 12:51:06,1096.7 lux
2022-04-02 12:51:07,1080.6 lux
2022-04-02 12:51:08,1080.6 lux
