sep=,
"Time","Noise"
2022-04-02 12:49:03,
2022-04-02 12:49:04,0.0279 Vrms
2022-04-02 12:49:05,0.0299 Vrms
2022-04-02 12:49:06,0.0295 Vrms
2022-04-02 12:49:07,0.0310 Vrms
2022-04-02 12:49:08,0.0348 Vrms
2022-04-02 12:49:09,0.0354 Vrms
2022-04-02 12:49:10,0.0286 Vrms
2022-04-02 12:49:11,0.0305 Vrms
2022-04-02 12:49:12,0.0313 Vrms
2022-04-02 12:49:13,0.0278 Vrms
2022-04-02 12:49:14,0.0294 Vrms
2022-04-02 12:49:15,0.0295 Vrms
2022-04-02 12:49:16,0.0281 Vrms
2022-04-02 12:49:17,0.0285 Vrms
2022-04-02 12:49:18,0.0273 Vrms
2022-04-02 12:49:19,0.0283 Vrms
2022-04-02 12:49:20,0.0300 Vrms
2022-04-02 12:49:21,0.0307 Vrms
2022-04-02 12:49:22,0.0293 Vrms
2022-04-02 12:49:23,0.0282 Vrms
2022-04-02 12:49:24,0.0290 Vrms
2022-04-02 12:49:25,0.0281 Vrms
2022-04-02 12:49:26,0.0288 Vrms
2022-04-02 12:49:27,0.0292 Vrms
2022-04-02 12:49:28,0.0302 Vrms
2022-04-02 12:49:29,0.0307 Vrms
2022-04-02 12:49:30,0.0262 Vrms
2022-04-02 12:49:31,0.0289 Vrms
2022-04-02 12:49:32,0.0250 Vrms
2022-04-02 12:49:33,0.0333 Vrms
2022-04-02 12:49:34,0.0290 Vrms
2022-04-02 12:49:35,0.0298 Vrms
2022-04-02 12:49:36,0.0341 Vrms
2022-04-02 12:49:37,0.0336 Vrms
2022-04-02 12:49:38,0.0246 Vrms
2022-04-02 12:49:39,0.0290 Vrms
2022-04-02 12:49:40,0.0296 Vrms
2022-04-02 12:49:41,0.0273 Vrms
2022-04-02 12:49:42,0.0314 Vrms
2022-04-02 12:49:43,0.0294 Vrms
2022-04-02 12:49:44,0.0255 Vrms
2022-04-02 12:49:45,0.0271 Vrms
2022-04-02 12:49:46,0.0289 Vrms
2022-04-02 12:49:47,0.0278 Vrms
2022-04-02 12:49:48,0.0262 Vrms
2022-04-02 12:49:49,0.0272 Vrms
2022-04-02 12:49:50,0.0286 Vrms
2022-04-02 12:49:51,0.0301 Vrms
2022-04-02 12:49:52,0.0279 Vrms
2022-04-02 12:49:53,0.0281 Vrms
2022-04-02 12:49:54,0.0303 Vrms
2022-04-02 12:49:55,0.0316 Vrms
2022-04-02 12:49:56,0.0314 Vrms
2022-04-02 12:49:57,0.0302 Vrms
2022-04-02 12:49:58,0.0282 Vrms
2022-04-02 12:49:59,0.0316 Vrms
2022-04-02 12:50:00,0.0300 Vrms
2022-04-02 12:50:01,0.0299 Vrms
2022-04-02 12:50:02,0.0285 Vrms
2022-04-02 12:50:03,0.0309 Vrms
2022-04-02 12:50:04,0.0287 Vrms
2022-04-02 12:50:05,0.0316 Vrms
2022-04-02 12:50:06,0.0303 Vrms
2022-04-02 12:50:07,0.0320 Vrms
2022-04-02 12:50:08,0.0277 Vrms
2022-04-02 12:50:09,0.0271 Vrms
2022-04-02 12:50:10,0.0310 Vrms
2022-04-02 12:50:11,0.0292 Vrms
2022-04-02 12:50:12,0.0415 Vrms
2022-04-02 12:50:13,0.0298 Vrms
2022-04-02 12:50:14,0.0274 Vrms
2022-04-02 12:50:15,0.0282 Vrms
2022-04-02 12:50:16,0.0326 Vrms
2022-04-02 12:50:17,0.0334 Vrms
2022-04-02 12:50:18,0.0332 Vrms
2022-04-02 12:50:19,0.0292 Vrms
2022-04-02 12:50:20,0.0325 Vrms
2022-04-02 12:50:21,0.0302 Vrms
2022-04-02 12:50:22,0.0313 Vrms
2022-04-02 12:50:23,0.0275 Vrms
2022-04-02 12:50:24,0.0333 Vrms
2022-04-02 12:50:25,0.0315 Vrms
2022-04-02 12:50:26,0.0321 Vrms
2022-04-02 12:50:27,0.0321 Vrms
2022-04-02 12:50:28,0.0325 Vrms
2022-04-02 12:50:29,0.0344 Vrms
2022-04-02 12:50:30,0.0301 Vrms
2022-04-02 12:50:31,0.0327 Vrms
2022-04-02 12:50:32,0.0317 Vrms
2022-04-02 12:50:33,0.0288 Vrms
2022-04-02 12:50:34,0.0331 Vrms
2022-04-02 12:50:35,0.0341 Vrms
2022-04-02 12:50:36,0.0352 Vrms
2022-04-02 12:50:37,0.0299 Vrms
2022-04-02 12:50:38,0.0315 Vrms
2022-04-02 12:50:39,0.0300 Vrms
2022-04-02 12:50:40,0.0340 Vrms
2022-04-02 12:50:41,0.0295 Vrms
2022-04-02 12:50:42,0.0332 Vrms
2022-04-02 12:50:43,0.0317 Vrms
2022-04-02 12:50:44,0.0334 Vrms
2022-04-02 12:50:45,0.0349 Vrms
2022-04-02 12:50:46,0.0356 Vrms
2022-04-02 12:50:47,0.0330 Vrms
2022-04-02 12:50:48,0.0311 Vrms
2022-04-02 12:50:49,0.0326 Vrms
2022-04-02 12:50:50,0.0333 Vrms
2022-04-02 12:50:51,0.0291 Vrms
2022-04-02 12:50:52,0.0306 Vrms
2022-04-02 12:50:53,0.0298 Vrms
2022-04-02 12:50:54,0.0345 Vrms
2022-04-02 12:50:55,0.0355 Vrms
2022-04-02 12:50:56,0.0331 Vrms
2022-04-02 12:50:57,0.0355 Vrms
2022-04-02 12:50:58,0.0339 Vrms
2022-04-02 12:50:59,0.0319 Vrms
2022-04-02 12:51:00,0.0296 Vrms
2022-04-02 12:51:01,0.0304 Vrms
2022-04-02 12:51:02,0.0291 Vrms
2022-04-02 12:51:03,0.0315 Vrms
2022-04-02 12:51:04,0.0320 Vrms
2022-04-02 12:51:05,0.0292 Vrms
2022-04-02 12:51:06,0.0299 Vrms
2022-04-02 12:51:07,0.0341 Vrms
2022-04-02 12:51:08,0.0315 Vrms
2022-04-02 12:51:09,0.0305 Vrms
2022-04-02 12:51:10,0.0307 Vrms
2022-04-02 12:51:11,0.0333 Vrms
2022-04-02 12:51:12,0.0345 Vrms
2022-04-02 12:51:13,0.0333 Vrms
2022-04-02 12:51:14,0.0318 Vrms
2022-04-02 12:51:15,0.0381 Vrms
2022-04-02 12:51:16,0.0346 Vrms
2022-04-02 12:51:17,0.0339 Vrms
2022-04-02 12:51:18,0.0310 Vrms
2022-04-02 12:51:19,0.0326 Vrms
