sep=,
"Time","Light"
2022-04-04 09:20:52,303.8 lux
2022-04-04 09:20:53,302.8 lux
2022-04-04 09:20:54,299.8 lux
2022-04-04 09:20:55,299.5 lux
2022-04-04 09:20:56,298.8 lux
2022-04-04 09:20:57,298.1 lux
2022-04-04 09:20:58,296.5 lux
2022-04-04 09:20:59,293.8 lux
2022-04-04 09:21:00,293.8 lux
2022-04-04 09:21:01,292.8 lux
2022-04-04 09:21:02,292.3 lux
2022-04-04 09:21:03,291.5 lux
2022-04-04 09:21:04,290.2 lux
2022-04-04 09:21:05,291.9 lux
2022-04-04 09:21:06,292.3 lux
2022-04-04 09:21:07,292.8 lux
2022-04-04 09:21:08,295.2 lux
2022-04-04 09:21:09,297.6 lux
2022-04-04 09:21:10,299.4 lux
2022-04-04 09:21:11,301.2 lux
2022-04-04 09:21:12,303.0 lux
2022-04-04 09:21:13,304.7 lux
2022-04-04 09:21:14,305.3 lux
2022-04-04 09:21:15,305.0 lux
2022-04-04 09:21:16,303.3 lux
2022-04-04 09:21:17,301.5 lux
2022-04-04 09:21:18,299.8 lux
2022-04-04 09:21:19,296.6 lux
2022-04-04 09:21:20,295.5 lux
2022-04-04 09:21:21,292.9 lux
2022-04-04 09:21:22,291.2 lux
2022-04-04 09:21:23,288.9 lux
2022-04-04 09:21:24,286.6 lux
2022-04-04 09:21:25,287.4 lux
2022-04-04 09:21:26,285.7 lux
2022-04-04 09:21:27,282.2 lux
2022-04-04 09:21:28,282.2 lux
2022-04-04 09:21:29,280.5 lux
2022-04-04 09:21:30,279.4 lux
2022-04-04 09:21:31,277.9 lux
2022-04-04 09:21:32,277.9 lux
2022-04-04 09:21:33,278.8 lux
2022-04-04 09:21:34,278.4 lux
2022-04-04 09:21:35,279.2 lux
2022-04-04 09:21:36,279.4 lux
2022-04-04 09:21:37,280.1 lux
2022-04-04 09:21:38,281.8 lux
2022-04-04 09:21:39,282.2 lux
2022-04-04 09:21:40,282.7 lux
2022-04-04 09:21:41,285.1 lux
2022-04-04 09:21:42,286.6 lux
2022-04-04 09:21:43,289.3 lux
2022-04-04 09:21:44,291.7 lux
2022-04-04 09:21:45,295.2 lux
2022-04-04 09:21:46,298.7 lux
2022-04-04 09:21:47,302.5 lux
2022-04-04 09:21:48,307.6 lux
2022-04-04 09:21:49,311.8 lux
2022-04-04 09:21:50,316.9 lux
2022-04-04 09:21:51,322.6 lux
2022-04-04 09:21:52,327.7 lux
2022-04-04 09:21:53,332.6 lux
2022-04-04 09:21:54,339.6 lux
2022-04-04 09:21:55,344.7 lux
2022-04-04 09:21:56,353.7 lux
2022-04-04 09:21:57,358.8 lux
2022-04-04 09:21:58,364.9 lux
2022-04-04 09:21:59,370.7 lux
2022-04-04 09:22:00,372.1 lux
2022-04-04 09:22:01,374.4 lux
2022-04-04 09:22:02,376.1 lux
2022-04-04 09:22:03,381.9 lux
2022-04-04 09:22:04,385.9 lux
2022-04-04 09:22:05,389.4 lux
2022-04-04 09:22:06,394.6 lux
2022-04-04 09:22:07,401.5 lux
2022-04-04 09:22:08,407.2 lux
2022-04-04 09:22:09,414.1 lux
2022-04-04 09:22:10,421.1 lux
2022-04-04 09:22:11,428.0 lux
2022-04-04 09:22:12,433.2 lux
2022-04-04 09:22:13,440.1 lux
2022-04-04 09:22:14,447.0 lux
2022-04-04 09:22:15,449.3 lux
2022-04-04 09:22:16,452.2 lux
2022-04-04 09:22:17,452.2 lux
2022-04-04 09:22:18,450.4 lux
2022-04-04 09:22:19,449.3 lux
2022-04-04 09:22:20,451.6 lux
2022-04-04 09:22:21,448.4 lux
2022-04-04 09:22:22,447.8 lux
2022-04-04 09:22:23,445.2 lux
2022-04-04 09:22:24,440.9 lux
2022-04-04 09:22:25,439.8 lux
2022-04-04 09:22:26,437.8 lux
2022-04-04 09:22:27,435.7 lux
2022-04-04 09:22:28,432.0 lux
2022-04-04 09:22:29,429.1 lux
2022-04-04 09:22:30,430.6 lux
2022-04-04 09:22:31,430.0 lux
