sep=,
"Time","Noise"
2022-04-04 09:20:31,0.0297 Vrms
2022-04-04 09:20:32,0.0313 Vrms
2022-04-04 09:20:33,0.0313 Vrms
2022-04-04 09:20:34,0.0293 Vrms
2022-04-04 09:20:35,0.0329 Vrms
2022-04-04 09:20:36,0.0345 Vrms
2022-04-04 09:20:37,0.0344 Vrms
2022-04-04 09:20:38,0.0289 Vrms
2022-04-04 09:20:39,0.0318 Vrms
2022-04-04 09:20:40,0.0297 Vrms
2022-04-04 09:20:41,0.0296 Vrms
2022-04-04 09:20:42,0.0296 Vrms
2022-04-04 09:20:43,0.0348 Vrms
2022-04-04 09:20:44,0.0292 Vrms
2022-04-04 09:20:45,0.0296 Vrms
2022-04-04 09:20:46,0.0296 Vrms
2022-04-04 09:20:47,0.0265 Vrms
2022-04-04 09:20:48,0.0308 Vrms
2022-04-04 09:20:49,0.0324 Vrms
2022-04-04 09:20:50,0.0299 Vrms
2022-04-04 09:20:51,0.0309 Vrms
2022-04-04 09:20:52,0.0315 Vrms
2022-04-04 09:20:53,0.0309 Vrms
2022-04-04 09:20:54,0.0303 Vrms
2022-04-04 09:20:55,0.0336 Vrms
2022-04-04 09:20:56,0.0309 Vrms
2022-04-04 09:20:57,0.0308 Vrms
2022-04-04 09:20:58,0.0322 Vrms
2022-04-04 09:20:59,0.0334 Vrms
2022-04-04 09:21:00,0.0317 Vrms
2022-04-04 09:21:01,0.0326 Vrms
2022-04-04 09:21:02,0.0303 Vrms
2022-04-04 09:21:03,0.0279 Vrms
2022-04-04 09:21:04,0.0291 Vrms
2022-04-04 09:21:05,0.0273 Vrms
2022-04-04 09:21:06,0.0279 Vrms
2022-04-04 09:21:07,0.0275 Vrms
2022-04-04 09:21:08,0.0275 Vrms
2022-04-04 09:21:09,0.0239 Vrms
2022-04-04 09:21:10,0.0321 Vrms
2022-04-04 09:21:11,0.0272 Vrms
2022-04-04 09:21:12,0.0250 Vrms
2022-04-04 09:21:13,0.0251 Vrms
2022-04-04 09:21:14,0.0286 Vrms
2022-04-04 09:21:15,0.0299 Vrms
2022-04-04 09:21:16,0.0272 Vrms
2022-04-04 09:21:17,0.0295 Vrms
2022-04-04 09:21:18,0.0302 Vrms
2022-04-04 09:21:19,0.0343 Vrms
2022-04-04 09:21:20,0.0291 Vrms
2022-04-04 09:21:21,0.0307 Vrms
2022-04-04 09:21:22,0.0271 Vrms
2022-04-04 09:21:23,0.0327 Vrms
2022-04-04 09:21:24,0.0317 Vrms
2022-04-04 09:21:25,0.0280 Vrms
2022-04-04 09:21:26,0.0277 Vrms
2022-04-04 09:21:27,0.0331 Vrms
2022-04-04 09:21:28,0.0311 Vrms
2022-04-04 09:21:29,0.0308 Vrms
2022-04-04 09:21:30,0.0308 Vrms
2022-04-04 09:21:31,0.0272 Vrms
2022-04-04 09:21:32,0.0318 Vrms
2022-04-04 09:21:33,0.0308 Vrms
2022-04-04 09:21:34,0.0320 Vrms
2022-04-04 09:21:35,0.0301 Vrms
2022-04-04 09:21:36,0.0285 Vrms
